expression,category,category_2,verb,noun,non_v_pred,frequent,sg,pl,mass,animate,person,properNoun,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,wh_np_verb,responsive,passive,strict_intrans,strict_trans,causative,spray_load,inchoative,agentive,event,adjs,restrictor_DE,scope_DE,NPI,agent,occupation,clothing,appearance,physical,conceptual,artifact,start_with_vowel,frontable,gender,irrpl,special_en_form,irr_verb,irr_past,document,negated,locale,institution,arg_clause,homophonous,pluralform,singularform,sgequalspl,topic,image,v_embed_sc,change_of_state,initial_state,change_arg,vehicle,vegetable,food,light,liquid,animal,openable,climbable,cleanable,buildable,drinkable,singable,boat,money,interior,quantifier,antonym,locative_prepositions,synonym_hypernym_hyponym,OOV_inductive_biases,past_or_participle
boy,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,m,,,,,,,,,,,boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
girl,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,,,,,,,,,,,girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
man,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,m,1,,,,,,,,,,men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
woman,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,1,,,,,,,,,,women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
lady,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,,,,,,,,,,,ladies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
guy,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,m,,,,,,,,,,,guys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dancer,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,,,,,,,,,,,dancers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
child,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,1,,,,,,,,,,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
teenager,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,,,,,,,,,,,teenagers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
adult,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,n,,,,,,,,,,,adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
person,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,1,,,,,,,,,,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
senator,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,,,,,,,,,,,senators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
doctor,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
patient,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
actor,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,n,,,,,,,,,,,actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
actress,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,f,,,,,,,,,,,actresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
waiter,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,waiters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
waitress,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,f,,,,,,,,,,,waitresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
customer,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cashier,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,cashiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
teacher,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,teachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
student,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
guest,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,guests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pedestrian,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,pedestrians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
driver,N,N,,1,,1,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,drivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
boys,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,m,,,,,,,,,,,,boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
girls,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,,,,,,,,,,,,girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
men,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,m,1,,,,,,,,,,,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
women,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,1,,,,,,,,,,,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ladies,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,,,,,,,,,,,,lady,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
guys,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,m,,,,,,,,,,,,guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dancers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,f,,,,,,,,,,,,dancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
children,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,,,,,,,,,,,,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
teenagers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,,,,,,,,,,,,teenager,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
adults,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,n,,,,,,,,,,,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
people,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,1,,,,,,,,,,,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
senators,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,0,,n,,,,,,,,,,,,senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
doctors,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
patients,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
actors,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,n,,,,,,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
actresses,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,f,,,,,,,,,,,,actress,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
waiters,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,waiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
waitresses,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,f,,,,,,,,,,,,waitress,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
customers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cashiers,N,N,,1,,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,0,,n,,,,,,,,,,,,cashier,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
